                              Open     High      Low    Close     upper  \
Date                                                                      
2023-02-10 15:57:00+00:00  1.06772  1.06774  1.06746  1.06748  1.069688   
2023-02-10 15:58:00+00:00  1.06748  1.06774  1.06748  1.06770  1.069518   
2023-02-10 15:59:00+00:00  1.06769  1.06770  1.06760  1.06770  1.069254   
2023-02-10 16:00:00+00:00  1.06772  1.06774  1.06753  1.06768  1.069078   
2023-02-10 16:01:00+00:00  1.06768  1.06780  1.06764  1.06780  1.068886   
2023-02-10 16:02:00+00:00  1.06778  1.06800  1.06769  1.06796  1.068730   
2023-02-10 16:03:00+00:00  1.06796  1.06796  1.06782  1.06794  1.068587   
2023-02-10 16:04:00+00:00  1.06796  1.06834  1.06794  1.06830  1.068529   
2023-02-10 16:05:00+00:00  1.06830  1.06834  1.06818  1.06824  1.068482   
2023-02-10 16:06:00+00:00  1.06822  1.06860  1.06822  1.06856  1.068510   
2023-02-10 16:07:00+00:00  1.06856  1.06860  1.06844  1.06848  1.068572   
2023-02-10 16:08:00+00:00  1.06850  1.06870  1.06840  1.06856  1.068640   
2023-02-10 16:09:00+00:00  1.06856  1.06870  1.06844  1.06853  1.068698   
2023-02-10 16:10:00+00:00  1.06853  1.06858  1.06832  1.06832  1.068708   
2023-02-10 16:11:00+00:00  1.06832  1.06860  1.06829  1.06860  1.068770   
2023-02-10 16:12:00+00:00  1.06860  1.06862  1.06840  1.06844  1.068806   
2023-02-10 16:13:00+00:00  1.06844  1.06854  1.06818  1.06819  1.068816   
2023-02-10 16:14:00+00:00  1.06816  1.06836  1.06808  1.06829  1.068833   
2023-02-10 16:15:00+00:00  1.06827  1.06856  1.06822  1.06824  1.068833   
2023-02-10 16:16:00+00:00  1.06828  1.06829  1.06810  1.06825  1.068834   
2023-02-10 16:17:00+00:00  1.06826  1.06834  1.06808  1.06810  1.068789   
2023-02-10 16:18:00+00:00  1.06809  1.06814  1.06788  1.06792  1.068770   
2023-02-10 16:19:00+00:00  1.06794  1.06805  1.06774  1.06789  1.068751   
2023-02-10 16:20:00+00:00  1.06790  1.06790  1.06777  1.06778  1.068737   
2023-02-10 16:21:00+00:00  1.06778  1.06778  1.06762  1.06768  1.068753   
2023-02-10 16:22:00+00:00  1.06768  1.06780  1.06764  1.06774  1.068770   
2023-02-10 16:23:00+00:00  1.06775  1.06790  1.06766  1.06786  1.068775   
2023-02-10 16:24:00+00:00  1.06788  1.06802  1.06784  1.06792  1.068766   
